gene_id	group
ENSG00000210049	MT
ENSG00000211459	MT
ENSG00000210077	MT
ENSG00000210082	MT
ENSG00000209082	MT
ENSG00000198888	MT
ENSG00000210100	MT
ENSG00000210107	MT
ENSG00000210112	MT
ENSG00000198763	MT
ENSG00000210117	MT
ENSG00000210127	MT
ENSG00000210135	MT
ENSG00000210140	MT
ENSG00000210144	MT
ENSG00000198804	MT
ENSG00000210151	MT
ENSG00000210154	MT
ENSG00000198712	MT
ENSG00000210156	MT
ENSG00000228253	MT
ENSG00000198899	MT
ENSG00000198938	MT
ENSG00000210164	MT
ENSG00000198840	MT
ENSG00000210174	MT
ENSG00000212907	MT
ENSG00000198886	MT
ENSG00000210176	MT
ENSG00000210184	MT
ENSG00000210191	MT
ENSG00000198786	MT
ENSG00000198695	MT
ENSG00000210194	MT
ENSG00000198727	MT
ENSG00000210195	MT
ENSG00000210196	MT
ENSG00000116251	RPL
ENSG00000142676	RPL
ENSG00000117676	RPL
ENSG00000142937	RPL
ENSG00000122406	RPL
ENSG00000177954	RPL
ENSG00000136643	RPL
ENSG00000171863	RPL
ENSG00000143947	RPL
ENSG00000071082	RPL
ENSG00000197756	RPL
ENSG00000144713	RPL
ENSG00000174748	RPL
ENSG00000188846	RPL
ENSG00000162244	RPL
ENSG00000114391	RPL
ENSG00000163584	RPL
ENSG00000163923	RPL
ENSG00000182899	RPL
ENSG00000163682	RPL
ENSG00000109475	RPL
ENSG00000145425	RPL
ENSG00000145592	RPL
ENSG00000186468	RPL
ENSG00000164587	RPL
ENSG00000037241	RPL
ENSG00000231500	RPL
ENSG00000270800	RPL
ENSG00000124614	RPL
ENSG00000198755	RPL
ENSG00000146223	RPL
ENSG00000112306	RPL
ENSG00000071242	RPL
ENSG00000008988	RPL
ENSG00000147604	RPL
ENSG00000156482	RPL
ENSG00000161016	RPL
ENSG00000137154	RPL
ENSG00000136942	RPL
ENSG00000197958	RPL
ENSG00000148303	RPL
ENSG00000138326	RPL
ENSG00000177600	RPL
ENSG00000166441	RPL
ENSG00000110700	RPL
ENSG00000162302	RPL
ENSG00000175634	RPL
ENSG00000149273	RPL
ENSG00000118181	RPL
ENSG00000197728	RPL
ENSG00000229117	RPL
ENSG00000089009	RPL
ENSG00000089157	RPL
ENSG00000122026	RPL
ENSG00000165496	RPL
ENSG00000213741	RPL
ENSG00000165502	RPL
ENSG00000198208	RPL
ENSG00000100784	RPL
ENSG00000185088	RPL
ENSG00000174444	RPL
ENSG00000137818	RPL
ENSG00000182774	RPL
ENSG00000140986	RPL
ENSG00000140988	RPL
ENSG00000134419	RPL
ENSG00000167526	RPL
ENSG00000161970	RPL
ENSG00000198242	RPL
ENSG00000125691	RPL
ENSG00000108298	RPL
ENSG00000131469	RPL
ENSG00000108443	RPL
ENSG00000172809	RPL
ENSG00000215472	RPL
ENSG00000265681	RPL
ENSG00000115268	RPL
ENSG00000130255	RPL
ENSG00000233927	RPL
ENSG00000105640	RPL
ENSG00000105193	RPL
ENSG00000105372	RPL
ENSG00000063177	RPL
ENSG00000142541	RPL
ENSG00000142534	RPL
ENSG00000170889	RPL
ENSG00000108107	RPL
ENSG00000083845	RPL
ENSG00000171858	RPL
ENSG00000100316	RPL
ENSG00000187051	RPL
ENSG00000177189	RPL
ENSG00000198034	RPL
ENSG00000072133	RPL
ENSG00000241343	RPL
ENSG00000257529	RPL
ENSG00000198918	RPL
ENSG00000147403	RPL
ENSG00000129824	RPL
ENSG00000280969	RPL
ENSG00000236679	RPP
ENSG00000234619	RPP
ENSG00000224315	RPP
ENSG00000229716	RPP
ENSG00000238173	RPP
ENSG00000227875	RPP
ENSG00000225196	RPP
ENSG00000224321	RPP
ENSG00000226457	RPP
ENSG00000215520	RPP
ENSG00000233072	RPP
ENSG00000172746	RPP
ENSG00000233940	RPP
ENSG00000229994	RPP
ENSG00000230451	RPP
ENSG00000215893	RPP
ENSG00000234093	RPP
ENSG00000225447	RPP
ENSG00000229554	RPP
ENSG00000228929	RPP
ENSG00000236776	RPP
ENSG00000224980	RPP
ENSG00000236888	RPP
ENSG00000223416	RPP
ENSG00000234088	RPP
ENSG00000231622	RPP
ENSG00000229133	RPP
ENSG00000227207	RPP
ENSG00000229752	RPP
ENSG00000237959	RPP
ENSG00000232393	RPP
ENSG00000137970	RPP
ENSG00000226128	RPP
ENSG00000271415	RPP
ENSG00000235045	RPP
ENSG00000228453	RPP
ENSG00000236804	RPP
ENSG00000227056	RPP
ENSG00000268993	RPP
ENSG00000268074	RPP
ENSG00000236806	RPP
ENSG00000224800	RPP
ENSG00000233717	RPP
ENSG00000231837	RPP
ENSG00000224203	RPP
ENSG00000231586	RPP
ENSG00000213075	RPP
ENSG00000232341	RPP
ENSG00000237049	RPP
ENSG00000213063	RPP
ENSG00000230364	RPP
ENSG00000225713	RPP
ENSG00000233946	RPP
ENSG00000230777	RPP
ENSG00000231084	RPP
ENSG00000213051	RPP
ENSG00000231022	RPP
ENSG00000237213	RPP
ENSG00000228190	RPP
ENSG00000231333	RPP
ENSG00000223396	RPP
ENSG00000238003	RPP
ENSG00000225483	RPP
ENSG00000227887	RPP
ENSG00000220749	RPP
ENSG00000225338	RPP
ENSG00000228646	RPP
ENSG00000232134	RPP
ENSG00000238183	RPP
ENSG00000230841	RPP
ENSG00000231940	RPP
ENSG00000236863	RPP
ENSG00000229795	RPP
ENSG00000237991	RPP
ENSG00000217327	RPP
ENSG00000235990	RPP
ENSG00000235467	RPP
ENSG00000233084	RPP
ENSG00000223640	RPP
ENSG00000233747	RPP
ENSG00000225991	RPP
ENSG00000227770	RPP
